State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Alameda,6,1,1/1/2017,45,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,1/2/2017,36,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/3/2017,35,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/4/2017,40,Good,NO2,06-001-0012,6
California,Alameda,6,1,1/5/2017,36,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,1/6/2017,39,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,1/7/2017,30,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/8/2017,33,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/9/2017,39,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/10/2017,40,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/11/2017,39,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/12/2017,32,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/13/2017,39,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,1/14/2017,56,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/15/2017,68,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/16/2017,75,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/17/2017,85,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/18/2017,53,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/19/2017,42,Good,NO2,06-001-2005,6
California,Alameda,6,1,1/20/2017,40,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/21/2017,44,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,1/22/2017,40,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/23/2017,38,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/24/2017,47,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,1/25/2017,53,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/26/2017,56,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/27/2017,45,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,1/28/2017,58,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/29/2017,65,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/30/2017,69,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,1/31/2017,85,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2/1/2017,87,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2/2/2017,37,Good,Ozone,06-001-2005,6
