ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
94538,Alameda County,CA,6001,H1
94588,Alameda County,CA,6001,H1
94621,Alameda County,CA,6001,H1
94720,Alameda County,CA,6001,H1
94704,Alameda County,CA,6001,H1
95377,Alameda County,CA,6001,H1
94514,Alameda County,CA,6001,H1
94615,Alameda County,CA,6001,H1
94613,Alameda County,CA,6001,H1
94537,Alameda County,CA,6001,H1
94578,Alameda County,CA,6001,H1
94606,Alameda County,CA,6001,H1
94610,Alameda County,CA,6001,H1
94620,Alameda County,CA,6001,H1
94608,Alameda County,CA,6001,H1
94662,Alameda County,CA,6001,H1
94707,Alameda County,CA,6001,H1
94708,Alameda County,CA,6001,H1
95391,Alameda County,CA,6001,H1
95035,Alameda County,CA,6001,H1
94501,Alameda County,CA,6001,H1
94546,Alameda County,CA,6001,H1
94543,Alameda County,CA,6001,H1
94580,Alameda County,CA,6001,H1
94555,Alameda County,CA,6001,H1
94703,Alameda County,CA,6001,H1
94612,Alameda County,CA,6001,H1
94710,Alameda County,CA,6001,H1
94505,Alameda County,CA,6001,H1
94624,Alameda County,CA,6001,H1
94666,Alameda County,CA,6001,H1
94544,Alameda County,CA,6001,H1
94568,Alameda County,CA,6001,H1
94579,Alameda County,CA,6001,H1
94705,Alameda County,CA,6001,H1
94614,Alameda County,CA,6001,H1
94701,Alameda County,CA,6001,H1
94536,Alameda County,CA,6001,H1
94587,Alameda County,CA,6001,H1
94566,Alameda County,CA,6001,H1
94609,Alameda County,CA,6001,H1
94611,Alameda County,CA,6001,H1
94545,Alameda County,CA,6001,H1
94577,Alameda County,CA,6001,H1
94551,Alameda County,CA,6001,H1
94602,Alameda County,CA,6001,H1
94605,Alameda County,CA,6001,H1
94709,Alameda County,CA,6001,H1
94618,Alameda County,CA,6001,H1
94623,Alameda County,CA,6001,H1
94586,Alameda County,CA,6001,H1
94712,Alameda County,CA,6001,H1
94661,Alameda County,CA,6001,H1
94541,Alameda County,CA,6001,H1
94502,Alameda County,CA,6001,H1
94542,Alameda County,CA,6001,H1
94550,Alameda County,CA,6001,H1
94552,Alameda County,CA,6001,H1
94702,Alameda County,CA,6001,H1
94706,Alameda County,CA,6001,H1
94603,Alameda County,CA,6001,H1
94604,Alameda County,CA,6001,H1
94539,Alameda County,CA,6001,H1
94540,Alameda County,CA,6001,H1
94560,Alameda County,CA,6001,H1
94619,Alameda County,CA,6001,H1
94601,Alameda County,CA,6001,H1
94607,Alameda County,CA,6001,H1
94557,Alameda County,CA,6001,H1
94530,Contra Costa County,CA,6013,H1
94506,Contra Costa County,CA,6013,H1
94509,Contra Costa County,CA,6013,H1
94588,Contra Costa County,CA,6013,H1
94596,Contra Costa County,CA,6013,H1
94805,Contra Costa County,CA,6013,H1
94806,Contra Costa County,CA,6013,H1
94525,Contra Costa County,CA,6013,H1
94514,Contra Costa County,CA,6013,H1
94820,Contra Costa County,CA,6013,H1
94802,Contra Costa County,CA,6013,H1
94569,Contra Costa County,CA,6013,H1
94575,Contra Costa County,CA,6013,H1
94513,Contra Costa County,CA,6013,H1
94521,Contra Costa County,CA,6013,H1
94522,Contra Costa County,CA,6013,H1
94564,Contra Costa County,CA,6013,H1
94548,Contra Costa County,CA,6013,H1
94597,Contra Costa County,CA,6013,H1
94706,Contra Costa County,CA,6013,H1
94511,Contra Costa County,CA,6013,H1
94549,Contra Costa County,CA,6013,H1
94595,Contra Costa County,CA,6013,H1
94528,Contra Costa County,CA,6013,H1
94516,Contra Costa County,CA,6013,H1
94523,Contra Costa County,CA,6013,H1
94520,Contra Costa County,CA,6013,H1
94572,Contra Costa County,CA,6013,H1
94804,Contra Costa County,CA,6013,H1
94598,Contra Costa County,CA,6013,H1
94807,Contra Costa County,CA,6013,H1
94518,Contra Costa County,CA,6013,H1
94531,Contra Costa County,CA,6013,H1
94583,Contra Costa County,CA,6013,H1
94565,Contra Costa County,CA,6013,H1
94553,Contra Costa County,CA,6013,H1
94708,Contra Costa County,CA,6013,H1
94801,Contra Costa County,CA,6013,H1
94707,Contra Costa County,CA,6013,H1
94561,Contra Costa County,CA,6013,H1
94570,Contra Costa County,CA,6013,H1
94551,Contra Costa County,CA,6013,H1
94611,Contra Costa County,CA,6013,H1
94850,Contra Costa County,CA,6013,H1
94505,Contra Costa County,CA,6013,H1
94526,Contra Costa County,CA,6013,H1
94519,Contra Costa County,CA,6013,H1
94507,Contra Costa County,CA,6013,H1
94517,Contra Costa County,CA,6013,H1
94803,Contra Costa County,CA,6013,H1
94524,Contra Costa County,CA,6013,H1
94568,Contra Costa County,CA,6013,H1
94582,Contra Costa County,CA,6013,H1
94556,Contra Costa County,CA,6013,H1
94547,Contra Costa County,CA,6013,H1
94563,Contra Costa County,CA,6013,H1
94903,Marin County,CA,6041,H1
94901,Marin County,CA,6041,H1
94949,Marin County,CA,6041,H1
94913,Marin County,CA,6041,H1
94912,Marin County,CA,6041,H1
94970,Marin County,CA,6041,H1
94933,Marin County,CA,6041,H1
94950,Marin County,CA,6041,H1
94974,Marin County,CA,6041,H1
94941,Marin County,CA,6041,H1
94965,Marin County,CA,6041,H1
94966,Marin County,CA,6041,H1
94963,Marin County,CA,6041,H1
94930,Marin County,CA,6041,H1
94956,Marin County,CA,6041,H1
