State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Alameda,6,1,1/1/2016,41,Good,PM2.5,06-001-0007,5
California,Alameda,6,1,1/2/2016,53,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,1/3/2016,72,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,1/4/2016,61,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,1/5/2016,38,Good,NO2,06-001-0012,5
California,Alameda,6,1,1/6/2016,35,Good,NO2,06-001-0012,5
California,Alameda,6,1,1/7/2016,40,Good,NO2,06-001-0012,5
California,Alameda,6,1,1/8/2016,55,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,1/9/2016,40,Good,PM2.5,06-001-0007,5
California,Alameda,6,1,1/10/2016,44,Good,PM2.5,06-001-0007,5
California,Alameda,6,1,1/11/2016,54,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,1/12/2016,55,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,1/13/2016,41,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,1/14/2016,33,Good,Ozone,06-001-0007,5
California,Alameda,6,1,1/15/2016,44,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,1/16/2016,29,Good,PM2.5,06-001-0007,5
California,Alameda,6,1,1/17/2016,29,Good,Ozone,06-001-2005,5
California,Alameda,6,1,1/18/2016,40,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,1/19/2016,40,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,1/20/2016,54,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,1/21/2016,53,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,1/22/2016,33,Good,Ozone,06-001-0007,5
California,Alameda,6,1,1/23/2016,33,Good,Ozone,06-001-0007,5
California,Alameda,6,1,1/24/2016,31,Good,Ozone,06-001-0007,5
California,Alameda,6,1,1/25/2016,41,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,1/26/2016,52,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,1/27/2016,55,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,1/28/2016,66,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,1/29/2016,32,Good,NO2,06-001-0012,5
California,Alameda,6,1,1/30/2016,36,Good,Ozone,06-001-0007,5
California,Alameda,6,1,1/31/2016,31,Good,Ozone,06-001-2005,5
California,Alameda,6,1,2/1/2016,32,Good,Ozone,06-001-0007,5
California,Alameda,6,1,2/2/2016,33,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,2/3/2016,46,Good,PM2.5,06-001-0007,5
California,Alameda,6,1,2/4/2016,42,Good,PM2.5,06-001-0007,5
California,Alameda,6,1,2/5/2016,54,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,2/6/2016,58,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,2/7/2016,52,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,2/8/2016,43,Good,NO2,06-001-0012,5
California,Alameda,6,1,2/9/2016,72,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,2/10/2016,68,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,2/11/2016,63,Moderate,PM2.5,06-001-0011,5
